id,name,description,startDate,endDate,location,capacity,type,status,timezone,isPublic,organizer
evt_18,Event 18: Product Launch,"This is an in-depth description for event 18. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-23,2025-05-25,Downtown Arena,353,Seminar,upcoming,America/Los_Angeles,true,Dev Community
evt_19,Event 19: Networking,"This is an in-depth description for event 19. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-26,2025-06-28,Tech Campus,640,Workshop,upcoming,America/New_York,false,Education Center
evt_20,Event 20: Product Launch,"This is an in-depth description for event 20. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-09,2025-05-10,Tech Campus,762,Seminar,completed,Europe/London,false,Innovation Lab
evt_8,Event 8: Conference,"This is an in-depth description for event 8.  The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-23,2025-05-25,Tech Campus,684,Training,upcoming,America/Phoenix,true,Marketing Department
evt_15,Event 15: Training,"This is an in-depth description for event 15. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-07,2025-06-09,Business Park,814,Workshop,cancelled,America/Los_Angeles,true,TechOrg Inc.
evt_18,Event 18: Product Launch,"This is an in-depth description for event 18. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-23,2025-05-25,Downtown Arena,353,Seminar,upcoming,America/Los_Angeles,true,Education Center
evt_10,Event 10: Product Launch,"This is an in-depth description for event 10. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-05-25,2025-05-28,University Hall,738,Conference,upcoming,Asia/Tokyo,false,TechOrg Inc.
evt_11,Event 11: Seminar,"This is an in-depth description for event 11. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-04-30,2025-05-02,University Hall,433,Conference,completed,Europe/London,true,Product Team
evt_9,Event 9: Networking,"This is an in-depth description for event 9. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-07-08,2025-07-12,Tech Campus,528,Networking,upcoming,America/New_York,true,Education Center
evt_6,Event 6: Networking,"This is an in-depth description for event 6. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-11,2025-06-14,Downtown Arena,153,Hackathon,upcoming,America/Phoenix,true,Education Center
evt_15,Event 15: Training,"This is an in-depth description for event 15. The event will cover various topics related to technology, innovation, and industry trends. Attendees can expect interactive sessions, networking opportunities, and valuable insights from industry experts.",2025-06-07,2025-06-09,Business Park,814,Workshop,completed,America/Los_Angeles,true,TechOrg Inc.
